# LS89 normalized by true chord 0.068416 m, origin at LE-extreme point; unrotated
-0.00181124 0.00070891
-0.00150062 0.00061456
-0.00119310 0.00051054
-0.00088898 0.00039696
-0.00058856 0.00027393
-0.00029214 0.00014157
0.00000000 0.00000000
0.00028757 -0.00015063
0.00057029 -0.00031018
0.00084789 -0.00047849
0.00112009 -0.00065540
0.00138662 -0.00084073
0.00164723 -0.00103431
0.00190166 -0.00123593
0.00214966 -0.00144542
0.00239099 -0.00166255
0.00262541 -0.00188713
0.00285269 -0.00211892
0.00307262 -0.00235771
0.00328498 -0.00260325
0.00348955 -0.00285532
0.00368615 -0.00311366
0.00387457 -0.00337801
0.00405463 -0.00364813
0.00422616 -0.00392375
0.00438899 -0.00420460
0.00454295 -0.00449040
0.00468791 -0.00478087
0.00482371 -0.00507574
0.00495023 -0.00537470
0.00506734 -0.00567748
0.00517493 -0.00598377
0.00527289 -0.00629327
0.00536112 -0.00660568
0.00543954 -0.00692070
0.00550807 -0.00723802
0.00556665 -0.00755733
0.00561522 -0.00787831
0.00565373 -0.00820065
0.00568214 -0.00852404
0.00570043 -0.00884816
0.00570857 -0.00917269
0.00570656 -0.00949732
0.00569441 -0.00982173
0.00567212 -0.01014559
0.00563971 -0.01046861
0.00559722 -0.01079045
0.00554469 -0.01111080
0.00545217 -0.01156191
0.00534643 -0.01200998
0.00526413 -0.01235283
0.00517471 -0.01272537
0.00507755 -0.01313018
0.00497198 -0.01357005
0.00485728 -0.01404802
0.00473266 -0.01456738
0.00459726 -0.01513173
0.00445015 -0.01574495
0.00429031 -0.01641128
0.00411664 -0.01713532
0.00392795 -0.01792207
0.00372294 -0.01877697
0.00350019 -0.01970590
0.00325817 -0.02071529
0.00299520 -0.02181211
0.00270947 -0.02300393
0.00239901 -0.02429897
0.00206166 -0.02570617
0.00169509 -0.02723526
0.00129675 -0.02889678
0.00086387 -0.03070221
0.00039343 -0.03266401
-0.00011785 -0.03479572
-0.00067357 -0.03711206
-0.00127763 -0.03962901
-0.00193429 -0.04236394
-0.00264821 -0.04533573
-0.00342446 -0.04856486
-0.00426859 -0.05207361
-0.00518665 -0.05588618
-0.00618527 -0.06002883
-0.00727166 -0.06453012
-0.00845372 -0.06942102
-0.00974004 -0.07473521
-0.01114000 -0.08050921
-0.01266346 -0.08678121
-0.01432071 -0.09359102
-0.01612516 -0.10099115
-0.01808993 -0.10903272
-0.02022912 -0.11777124
-0.02255791 -0.12726698
-0.02509257 -0.13758537
-0.02785045 -0.14879743
-0.03084917 -0.16097647
-0.03410866 -0.17420677
-0.03763128 -0.18850213
-0.04113368 -0.20271683
-0.04461535 -0.21685034
-0.04807580 -0.23089895
-0.05151659 -0.24486450
-0.05494035 -0.25875029
-0.05834926 -0.27255547
-0.06174600 -0.28627920
-0.06513269 -0.29991670
-0.06851388 -0.31347188
-0.07189351 -0.32694538
-0.07527524 -0.34033621
-0.07866259 -0.35364289
-0.08205762 -0.36685845
-0.08546616 -0.37999131
-0.08889148 -0.39304044
-0.09233654 -0.40600471
-0.09580282 -0.41887853
-0.09929268 -0.43166098
-0.10281053 -0.44435975
-0.10635806 -0.45697362
-0.10993656 -0.46950126
-0.11354421 -0.48193180
-0.11718484 -0.49427502
-0.12086029 -0.50653439
-0.12457077 -0.51870849
-0.12831606 -0.53079516
-0.13209290 -0.54278307
-0.13590659 -0.55468816
-0.13975702 -0.56650889
-0.14364423 -0.57824373
-0.14756739 -0.58988824
-0.15152729 -0.60144210
-0.15552693 -0.61291032
-0.15956744 -0.62429108
-0.16365047 -0.63558276
-0.16777897 -0.64678578
-0.17195560 -0.65789798
-0.17618327 -0.66891612
-0.18046601 -0.67983805
-0.18480872 -0.69066178
-0.18922286 -0.70139892
-0.19370835 -0.71203046
-0.19827109 -0.72255025
-0.20291923 -0.73295511
-0.20766202 -0.74324166
-0.21253852 -0.75346518
-0.21746903 -0.76343380
-0.22246156 -0.77314765
-0.22752452 -0.78260636
-0.23267631 -0.79182582
-0.23791030 -0.80077567
-0.24323503 -0.80945334
-0.24865903 -0.81785514
-0.25419774 -0.82598611
-0.25984861 -0.83382367
-0.26561726 -0.84135807
-0.27151033 -0.84858050
-0.27753247 -0.85547935
-0.28368640 -0.86204093
-0.28997531 -0.86825247
-0.29639988 -0.87409913
-0.30295349 -0.87956104
-0.30961505 -0.88461067
-0.31640314 -0.88925288
-0.32330636 -0.89347009
-0.33030819 -0.89724547
-0.33734934 -0.90054796
-0.34443972 -0.90338748
-0.35157797 -0.90576678
-0.35873376 -0.90768093
-0.36587403 -0.90913097
-0.37290327 -0.91011778
-0.37987376 -0.91067084
-0.38676320 -0.91080553
-0.39354208 -0.91054101
-0.40018421 -0.90990078
-0.40663737 -0.90891695
-0.41291611 -0.90761545
-0.41902564 -0.90601981
-0.42495333 -0.90415688
-0.43069038 -0.90205326
-0.43623143 -0.89973452
-0.44157308 -0.89722529
-0.44671840 -0.89454636
-0.45166961 -0.89171766
-0.45642811 -0.88875852
-0.46099678 -0.88568651
-0.46537957 -0.88251738
-0.46958125 -0.87926520
-0.47360713 -0.87594243
-0.47749621 -0.87252987
-0.48121530 -0.86906915
-0.48476706 -0.86557273
-0.48815748 -0.86204906
-0.49139254 -0.85850547
-0.49447813 -0.85494829
-0.49741996 -0.85138294
-0.50022357 -0.84781405
-0.50289426 -0.84424549
-0.50546966 -0.84063365
-0.50794069 -0.83699507
-0.51027908 -0.83337908
-0.51249010 -0.82978810
-0.51457860 -0.82622410
-0.51654914 -0.82268861
-0.51840589 -0.81918273
-0.52015268 -0.81570724
-0.52179295 -0.81226256
-0.52332977 -0.80884883
-0.52476583 -0.80546590
-0.52611382 -0.80208633
-0.52740911 -0.79861038
-0.52859264 -0.79518827
-0.52966691 -0.79181937
-0.53063374 -0.78850302
-0.53149433 -0.78523835
-0.53224910 -0.78202446
-0.53289762 -0.77886043
-0.53343849 -0.77574538
-0.53386907 -0.77267857
-0.53418532 -0.76965950
-0.53438135 -0.76668820
-0.53444898 -0.76376555
-0.53437609 -0.76084505
-0.53412965 -0.75775046
-0.53366476 -0.75449781
-0.53293564 -0.75111498
-0.53190154 -0.74764011
-0.53053242 -0.74411574
-0.52881181 -0.74057988
-0.52673485 -0.73705787
-0.52430319 -0.73355862
-0.52151988 -0.73007592
-0.51838584 -0.72659186
-0.51489810 -0.72308047
-0.51105015 -0.71951101
-0.50683221 -0.71584962
-0.50143944 -0.71142360
-0.49545676 -0.70672685
-0.48901267 -0.70181604
-0.48210529 -0.69664186
-0.47472817 -0.69115517
-0.46687113 -0.68530740
-0.45852084 -0.67905029
-0.44966106 -0.67233548
-0.44025096 -0.66509681
-0.43026895 -0.65728225
-0.41971023 -0.64885210
-0.40855134 -0.63974976
-0.39676822 -0.62991382
-0.38433731 -0.61927667
-0.37123691 -0.60776314
-0.35745117 -0.59529120
-0.34296939 -0.58176835
-0.32778622 -0.56708827
-0.31190752 -0.55113290
-0.29535273 -0.53377157
-0.27815795 -0.51486192
-0.26035861 -0.49422797
-0.24202533 -0.47169920
-0.22325281 -0.44710392
-0.20415019 -0.42026514
-0.18483904 -0.39100950
-0.16535943 -0.35902657
-0.14584903 -0.32416441
-0.12847776 -0.29045959
-0.11388011 -0.26002354
-0.10150440 -0.23263089
-0.09091909 -0.20802420
-0.08178996 -0.18594240
-0.07387690 -0.16618282
-0.06697959 -0.14851963
-0.06093949 -0.13274263
-0.05562972 -0.11865871
-0.05094743 -0.10609192
-0.04680817 -0.09488285
-0.04314176 -0.08488765
-0.03988918 -0.07597687
-0.03700027 -0.06803431
-0.03443202 -0.06095580
-0.03214724 -0.05464808
-0.03011359 -0.04902774
-0.02830276 -0.04402025
-0.02668988 -0.03955906
-0.02525304 -0.03558475
-0.02397284 -0.03204432
-0.02283209 -0.02889049
-0.02181556 -0.02608112
-0.02090969 -0.02357863
-0.02010242 -0.02134953
-0.01938303 -0.01936396
-0.01874196 -0.01759535
-0.01817069 -0.01601999
-0.01766163 -0.01461677
-0.01720802 -0.01336688
-0.01680384 -0.01225358
-0.01644370 -0.01126194
-0.01612282 -0.01037867
-0.01583692 -0.00959191
-0.01558219 -0.00889114
-0.01535525 -0.00826694
-0.01515307 -0.00771096
-0.01497294 -0.00721573
-0.01481247 -0.00677462
-0.01466951 -0.00638171
-0.01454216 -0.00603174
-0.01447351 -0.00584831
-0.01440854 -0.00566508
-0.01428891 -0.00535721
-0.01415955 -0.00505330
-0.01402058 -0.00475366
-0.01387216 -0.00445859
-0.01371442 -0.00416839
-0.01354754 -0.00388336
-0.01337167 -0.00360378
-0.01318699 -0.00332994
-0.01299370 -0.00306210
-0.01279199 -0.00280056
-0.01258205 -0.00254556
-0.01236412 -0.00229737
-0.01213839 -0.00205623
-0.01190512 -0.00182240
-0.01166452 -0.00159611
-0.01141684 -0.00137759
-0.01116234 -0.00116705
-0.01090127 -0.00096472
-0.01063390 -0.00077080
-0.01036049 -0.00058548
-0.01008132 -0.00040895
-0.00979669 -0.00024139
-0.00950686 -0.00008297
-0.00921214 0.00006616
-0.00891283 0.00020583
-0.00860923 0.00033591
-0.00830164 0.00045626
-0.00799038 0.00056677
-0.00767576 0.00066732
-0.00735810 0.00075782
-0.00703773 0.00083816
-0.00671496 0.00090827
-0.00639012 0.00096808
-0.00606355 0.00101752
-0.00573557 0.00105655
-0.00540651 0.00108513
-0.00507671 0.00110323
-0.00474650 0.00111082
-0.00441622 0.00110791
-0.00408619 0.00109449
-0.00375676 0.00107058
-0.00342826 0.00103621
-0.00310102 0.00099140
-0.00277536 0.00093620
-0.00245163 0.00087068
-0.00213015 0.00079489
